,genres,original_language,vote_average,vote_count,popularity,budget,revenue,runtime,budget_to_rating,budget_to_pop,budget_to_vote_count,vote_count_to_popularity,vote_average_squared,log_budget,release_day_of_week,release_quarter,year,month
598,"['Fantasy', 'Animation', 'Adventure']",Japanese,8.4,8358.0,67.313,24000000.0,236049757.0,119.0,2553191.489361702,356543.3125844933,2871.156836942218,122.34860129111588,70.56,16.993564429978885,3,3,2004,9
600,"['Animation', 'Action', 'Science Fiction']",Japanese,6.7,571.0,67.258,0.0,24200000.0,48.0,0.0,0.0,0.0,8.365319815992265,44.89,0.0,5,1,1994,3
604,"['Action', 'Adventure', 'Science Fiction']",English,6.1,12067.0,67.061,300000000.0,657926987.0,120.0,42253521.126760565,4473539.016716124,24859.13158766987,177.29683666123034,37.209999999999994,19.519293035953808,2,4,2017,11
609,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Romance']",English,7.6,10345.0,66.781,28000000.0,504050219.0,95.0,3255813.9534883723,419280.9331995627,2706.3599458728013,152.62389165105265,57.76,17.147715103853763,2,4,1992,11
610,"['Comedy', 'Crime']",English,6.9,3364.0,66.763,37000000.0,113086475.0,109.0,4683544.303797469,554199.1821817473,10995.542347696879,49.64361082006404,47.61000000000001,17.426428497635523,2,2,2004,6
611,"['Action', 'Drama', 'History', 'War']",English,7.9,9145.0,66.753,72000000.0,213216216.0,178.0,8089887.640449438,1078603.2088445462,7872.293898972228,134.97557303735627,62.410000000000004,18.09217669086922,2,2,1995,5
612,"['Action', 'Science Fiction']",English,8.2,23311.0,66.73,63000000.0,463517383.0,136.0,6847826.086956522,944103.1020530496,2702.470830473576,344.175402332792,67.24,17.958645300228824,1,1,1999,3
613,"['Action', 'Thriller', 'Crime']",English,6.7,4451.0,66.723,62000000.0,190400157.0,121.0,8051948.051948052,929214.8134826072,13926.325247079963,65.72360940891573,44.89,17.9426449591384,3,3,2018,7
614,"['Animation', 'Comedy', 'Family', 'Adventure']",English,6.7,7504.0,66.67,90000000.0,886686817.0,94.0,11688311.688311689,1349932.5033748313,11992.005329780146,110.89108910891089,44.89,18.31532023940565,4,2,2009,6
616,"['Adventure', 'Action']",English,7.9,11040.0,66.598,18000000.0,389925971.0,115.0,2022471.9101123596,270278.3867383405,1630.2871116746671,163.31844137400515,62.410000000000004,16.705882371415992,4,2,1981,6
617,"['Science Fiction', 'Action']",English,6.8,14436.0,66.553,116000000.0,856085151.0,112.0,14871794.871794872,1742971.7668625007,8034.910299923807,213.69887347712168,46.239999999999995,18.569100757691327,4,3,2018,9
618,"['Horror', 'Thriller']",English,6.3,1316.0,66.528,20000000.0,104186860.0,111.0,2739726.0273972605,300625.3006253006,15186.028853454822,19.488212297121194,39.69,16.811242881518265,2,4,2022,10
620,"['Drama', 'Adventure', 'Fantasy', 'Romance']",English,7.0,808.0,66.396,60000000.0,19892510.0,108.0,7500000.0,903668.8957166094,74165.63658838072,11.988842067778503,49.0,17.909855136853043,2,3,2022,8
621,"['Adventure', 'Fantasy', 'Comedy', 'Family', 'Horror']",English,6.4,2522.0,66.384,0.0,29303571.0,106.0,0.0,0.0,0.0,37.427282440935535,40.96000000000001,0.0,0,4,2020,10
626,"['Animation', 'Family', 'Fantasy']",Japanese,8.5,14405.0,65.974,19000000.0,274925095.0,125.0,2000000.0,287992.23936702334,1318.8949049007358,215.0834652253113,72.25,16.759949589762293,4,3,2001,7
627,['Drama'],French,7.8,413.0,65.967,0.0,3129968.0,104.0,0.0,0.0,0.0,6.16721668881688,60.839999999999996,0.0,1,4,2022,11
628,"['Family', 'Animation', 'Comedy', 'Crime']",English,7.2,13959.0,65.892,69000000.0,533679475.0,95.0,8414634.146341464,1047168.0932434894,4942.69340974212,208.679662739939,51.84,18.049617077054286,3,3,2010,7
629,"['Animation', 'Adventure', 'Family', 'Comedy']",English,7.7,14943.0,65.836,150000000.0,1023784195.0,109.0,17241379.31034483,2278388.7234947444,10037.473233404711,223.57711413010952,59.290000000000006,18.826145858727198,3,1,2016,2
630,"['Drama', 'Crime']",English,8.0,13991.0,65.817,52000000.0,352114312.0,141.0,5777777.777777778,790069.4349484177,3716.4093767867353,209.39281919272042,64.0,17.76675429577647,0,4,2002,12
632,"['Adventure', 'Drama']",English,7.2,717.0,65.793,20000000.0,43967255.0,111.0,2439024.390243903,303983.706473333,27855.15320334262,10.734657823424609,51.84,16.811242881518265,4,2,2015,6
637,"['Animation', 'Adventure', 'Action', 'Fantasy']",Japanese,7.5,524.0,65.589,0.0,150797338.0,115.0,0.0,0.0,0.0,7.869167580230969,56.25,0.0,5,3,2022,8
639,"['Thriller', 'Drama', 'Mystery']",English,7.1,8428.0,65.47,75000000.0,248118121.0,106.0,9259259.25925926,1145562.8532152132,8897.85265156009,126.7940424251542,50.41,18.132998684833918,2,4,2000,11
640,"['Adventure', 'Fantasy', 'Action']",English,7.3,17089.0,65.44,250000000.0,1021103568.0,169.0,30120481.927710842,3820293.3985330076,14628.43768285547,257.2095123419627,53.29,19.33697147982652,0,4,2012,11
641,"['History', 'Drama', 'Thriller', 'War']",English,8.0,15660.0,65.426,14000000.0,233555708.0,113.0,1555555.5555555555,213982.20890777366,893.9403614073176,235.75106133140636,64.0,16.454567959008102,4,4,2014,11
642,"['Drama', 'Comedy']",English,8.1,4839.0,65.394,7000000.0,40343446.0,101.0,769230.7692307692,107043.45964461571,1446.280991735537,72.88309184564869,65.61,15.76142084987672,2,2,2017,4
646,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy', 'Romance']",English,7.5,6655.0,65.115,85000000.0,252712101.0,93.0,10000000.0,1305382.7843046917,12770.432692307691,100.65794449066023,56.25,18.258161826219297,4,2,1997,6
647,"['Action', 'Mystery', 'Thriller', 'Science Fiction', 'Adventure']",Korean,7.1,157.0,65.107,0.0,23000000.0,137.0,0.0,0.0,0.0,2.374937601161753,50.41,0.0,2,2,2022,6
648,['Comedy'],English,5.8,4135.0,65.048,45000000.0,141220678.0,83.0,6617647.05882353,691796.8269585536,10880.077369439072,62.605983527131784,33.64,17.622173069956816,2,3,2001,7
649,"['Drama', 'Thriller', 'War']",English,8.2,20296.0,65.046,70000000.0,321457747.0,153.0,7608695.652173914,1076161.4857177995,3448.7855348081,307.30097204978347,67.24,18.064005814299346,2,3,2009,8
653,"['Animation', 'Comedy', 'Family']",English,6.9,10365.0,64.3,76000000.0,970761885.0,98.0,9620253.164556962,1181959.5645412132,7331.661200077176,158.72894333843797,47.61000000000001,18.1462439114085,2,2,2013,6
654,"['Action', 'Adventure', 'Science Fiction']",English,7.6,20593.0,64.251,150000000.0,378858340.0,121.0,17441860.46511628,2334594.014100948,7283.674856754395,315.5966958360791,57.76,18.826145858727198,2,2,2015,5
656,"['Drama', 'Thriller', 'Comedy']",English,8.4,26574.0,64.211,63000000.0,100853753.0,139.0,6702127.659574468,981140.303063338,2370.649106302916,407.5079357777062,70.56,17.958645300228824,4,4,1999,10
657,"['Crime', 'Thriller', 'Drama']",English,8.2,22846.0,64.169,55000000.0,1074458282.0,122.0,5978260.869565218,857111.6894450592,2407.3182474723158,350.5654528993847,67.24,17.822843761378564,1,4,2019,10
660,"['Fantasy', 'Action', 'Horror']",English,7.0,6328.0,64.106,100000000.0,230884728.0,121.0,12500000.0,1559916.3884815776,15800.284405119291,97.19534297914171,49.0,18.420680753952364,1,1,2005,2
663,['Action'],English,6.8,786.0,64.048,0.0,29439.0,97.0,0.0,0.0,0.0,12.083384577542738,46.239999999999995,0.0,4,4,2021,11
665,"['Action', 'Adventure', 'Animation', 'Family']",English,7.7,16285.0,63.957,92000000.0,631442092.0,115.0,10574712.643678162,1438466.4696593024,5649.023701338573,250.70431208337826,59.290000000000006,18.33729914588288,2,4,2004,10
666,"['Crime', 'Horror', 'Mystery']",English,7.4,5950.0,63.883,15000000.0,173046663.0,112.0,1785714.2857142857,234804.2515223142,2520.584775667955,91.70352788866111,54.760000000000005,16.52356082573315,4,4,1996,12
667,"['Family', 'Fantasy', 'Romance']",English,7.0,14706.0,63.82,160000000.0,1266115964.0,129.0,20000000.0,2507051.081165779,10879.173182838103,226.87442147485348,49.0,18.8906843794481,3,1,2017,3
668,"['Action', 'Adventure', 'Fantasy']",English,6.5,7637.0,63.811,200000000.0,169601036.0,151.0,26666666.666666668,3134255.8493049787,26184.86514794449,117.83493542762801,42.25,19.11382792951231,2,4,2020,12
669,"['Animation', 'Family']",English,6.5,3058.0,63.785,70000000.0,348840316.0,86.0,9333333.333333334,1097436.701418829,22883.29519450801,47.20228447943197,42.25,18.064005814299346,3,1,2012,3
670,"['Family', 'Animation', 'Adventure', 'Comedy']",English,6.5,3724.0,63.554,132000000.0,373552094.0,92.0,17600000.0,2076973.9119488937,35436.24161073825,57.6881370635437,42.25,18.6983124881264,5,4,2014,11
671,"['Action', 'Thriller', 'Science Fiction']",English,7.6,11544.0,63.536,6400000.0,78371200.0,108.0,744186.046511628,100730.29463611181,554.3525335643136,178.8769059129788,57.76,15.671808704579888,4,4,1984,10
674,"['Action', 'Romance', 'Animation']",Japanese,7.7,1677.0,63.232,903852.0,19840000.0,114.0,103891.03448275862,14294.218117408907,538.6483909415971,26.108481753643044,59.290000000000006,13.714422015532305,5,4,2014,12
676,"['Action', 'Science Fiction', 'Adventure']",English,6.2,7550.0,63.04,195000000.0,1123794079.0,154.0,27083333.333333332,3093274.111675127,25824.394119984107,117.89506558401001,38.440000000000005,19.088510121656228,1,2,2011,6
677,"['Horror', 'Action', 'Thriller']",English,7.1,2124.0,62.838,18000000.0,76994245.0,103.0,2222222.2222222225,286450.8736751647,8470.588235294117,33.271719038817004,50.41,16.705882371415992,2,2,2021,6
679,"['Action', 'Science Fiction', 'Adventure']",English,6.2,2511.0,62.805,40000000.0,30925690.0,137.0,5555555.555555555,636891.9672000636,15923.566878980891,39.354282579735134,38.440000000000005,17.50439003707821,4,4,1984,12
680,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror']",English,7.0,1107.0,62.757,0.0,119815153.0,93.0,0.0,0.0,0.0,17.36279937889173,49.0,0.0,4,4,2021,10
686,['Comedy'],Spanish,7.8,728.0,62.469,0.0,12421716.0,100.0,0.0,0.0,0.0,11.470166537994926,60.839999999999996,0.0,4,3,2016,9
687,"['Animation', 'Family', 'Comedy']",English,7.8,13502.0,62.335,200000000.0,1066969703.0,103.0,22727272.727272727,3208470.361755033,14811.523365178109,213.1838635825373,60.839999999999996,19.11382792951231,2,2,2010,6
688,"['Family', 'Fantasy', 'Adventure', 'Action']",English,7.3,5553.0,62.27,185000000.0,491730089.0,119.0,22289156.626506023,2970933.033563514,33309.32661145121,87.76671408250355,53.29,19.035866388448003,2,4,2019,10
689,['Comedy'],English,4.8,2551.0,62.165,20000000.0,78378744.0,86.0,3448275.8620689656,321724.44301455806,7836.990595611285,40.38628987572231,23.04,16.811242881518265,3,2,2013,4
695,"['Comedy', 'Drama', 'Romance']",English,7.3,7544.0,61.437,50000000.0,145079584.0,118.0,6024096.385542168,813841.8217035338,6626.905235255136,120.82579239873793,53.29,17.72753358339242,4,3,2011,7
699,"['Fantasy', 'Animation', 'Family']",English,7.8,8293.0,61.203,24000000.0,75634409.0,76.0,2727272.727272727,392137.6403117494,2893.658066071859,133.3215439769786,60.839999999999996,16.993564429978885,5,4,1993,10
700,"['Family', 'Adventure', 'Animation', 'Drama']",English,7.4,6099.0,61.181,130000000.0,448191819.0,88.0,15476190.476190476,2124842.6799169676,21311.475409836065,98.08462392049019,54.760000000000005,18.683045016112164,4,2,1999,6
702,"['Comedy', 'Drama', 'Romance']",English,8.5,24778.0,61.101,55000000.0,677387716.0,142.0,5789473.684210527,900148.9337326721,2219.6214536502684,398.9951852627172,72.25,17.822843761378564,3,2,1994,6
703,"['Science Fiction', 'Drama']",English,7.5,11938.0,61.035,150000000.0,259239658.0,164.0,17647058.82352941,2457606.2914721062,12563.86632046235,192.43975175304266,56.25,18.826145858727198,2,4,2017,10
705,"['Fantasy', 'Drama', 'Romance']",English,7.3,4458.0,60.977,90000000.0,142940100.0,178.0,10843373.493975902,1475966.3479672663,20183.897734918144,71.92990948254999,53.29,18.31532023940565,3,4,1998,11
706,"['Action', 'Adventure', 'Animation', 'Family', 'Comedy']",English,7.2,10265.0,60.929,130000000.0,631744560.0,90.0,15853658.536585366,2133630.947496266,12663.159945451003,165.75433157325324,51.84,18.683045016112164,2,2,2008,6
707,['Drama'],English,6.2,20.0,60.847,0.0,23800.0,93.0,0.0,0.0,0.0,0.3233786602422106,38.440000000000005,0.0,3,1,2021,2
708,"['Animation', 'Family', 'Adventure']",English,7.8,5681.0,60.811,129000000.0,524580592.0,104.0,14659090.909090908,2121326.733650162,22703.27349524815,91.90920709906004,60.839999999999996,18.675322970077882,3,1,2019,1
710,"['Action', 'Adventure', 'Drama', 'Family']",English,6.5,5426.0,60.771,40000000.0,359126022.0,140.0,5333333.333333333,658208.6850635994,7370.554634236226,87.84057243690405,42.25,17.50439003707821,3,2,2010,6
711,"['Animation', 'Comedy', 'Family']",English,5.7,3486.0,60.711,50000000.0,200804534.0,80.0,7462686.567164179,823573.9816507717,14338.973329509607,56.48911863363096,32.49,17.72753358339242,3,2,2004,6
713,"['Action', 'Thriller', 'Science Fiction']",English,7.9,8514.0,60.629,18500000.0,183316455.0,137.0,2078651.6853932582,305134.506589256,2172.636523781562,138.14924791899918,62.410000000000004,16.733281344102608,4,3,1986,7
716,['Comedy'],English,6.2,7932.0,60.546,103000000.0,362000072.0,100.0,14305555.555555556,1701185.8752023256,12983.73881255515,128.87921229649368,38.440000000000005,18.450239555902648,3,2,2013,5
717,"['Action', 'Adventure', 'Science Fiction']",English,6.9,20709.0,60.506,200000000.0,1215577205.0,130.0,25316455.69620253,3305457.310018841,9657.170449058425,336.6988586479368,47.61000000000001,19.11382792951231,3,2,2013,4
723,"['Thriller', 'Horror']",English,7.2,2102.0,60.22,10000000.0,53785551.0,98.0,1219512.1951219514,166057.78811026237,4755.111745126011,34.33518458020255,51.84,16.118095750958314,3,3,2021,8
724,"['Horror', 'Thriller']",English,7.3,7546.0,60.204,40000000.0,321834351.0,134.0,4819277.108433735,664407.6805527871,5300.119252683186,123.29259525521208,53.29,17.50439003707821,2,2,2016,6
726,"['Horror', 'Thriller']",English,6.3,546.0,60.157,10000000.0,33628000.0,105.0,1369863.0136986303,166231.69373472748,18281.535648994515,8.927841457233024,39.69,16.118095750958314,2,3,2022,8
729,"['Horror', 'Thriller', 'Comedy']",English,7.2,3240.0,60.077,35000000.0,79628200.0,107.0,4268292.68292683,582585.6817084742,10799.136069114471,53.04779213124417,51.84,17.370858648025116,3,4,2022,11
730,"['Adventure', 'Fantasy', 'Drama', 'Romance']",English,6.2,8092.0,60.072,68000000.0,698491347.0,124.0,9444444.444444444,1131974.9633772806,8402.32299518102,132.4993450353681,38.440000000000005,18.035018277846262,2,2,2010,6
